mean,std,episode,x
0.009, 0.653, 226, 
0.015, 0.805, 227, 
0.038, 0.778, 228, 
0.021, 1.382, 229, 
0.034, 0.585, 230, 
0.018, 0.565, 231, 
0.032, 0.705, 232, 
0.023, 0.758, 233, 
0.026, 0.794, 234, 
0.051, 0.891, 235, 
0.027, 0.815, 236, 
0.025, 0.754, 237, 
0.025, 1.111, 238, 
0.034, 1.026, 239, 
0.018, 0.977, 240, 
0.031, 0.996, 241, 
0.025, 0.630, 242, 
0.015, 0.620, 243, 
0.038, 0.896, 244, 
0.022, 0.712, 245, 
0.013, 0.803, 246, 
0.022, 0.748, 247, 
0.032, 0.814, 248, 
0.034, 0.891, 249, 
0.046, 1.007, 250, 
0.036, 0.550, 251, 
0.022, 0.962, 252, 
0.026, 1.210, 253, 
0.023, 0.561, 254, 
0.027, 1.052, 255, 
-0.002, 1.736, 256, 
-0.013, 1.603, 257, 
0.051, 0.995, 258, 
0.032, 1.048, 259, 
0.017, 0.472, 260, 
0.055, 0.911, 261, 
0.027, 0.788, 262, 
0.046, 0.759, 263, 
0.018, 0.593, 264, 
0.021, 0.427, 265, 
0.019, 1.069, 266, 
-0.007, 1.651, 267, 
0.012, 0.586, 268, 
0.036, 0.932, 269, 
0.040, 1.004, 270, 
0.035, 0.657, 271, 
0.021, 0.614, 272, 
0.025, 0.928, 273, 
0.019, 0.616, 274, 
0.039, 0.943, 275, 
0.019, 0.733, 276, 
0.021, 0.984, 277, 
0.025, 0.932, 278, 
0.018, 0.754, 279, 
0.040, 0.787, 280, 
0.019, 0.551, 281, 
0.031, 0.786, 282, 
0.021, 0.521, 283, 
0.030, 1.384, 284, 
0.036, 0.565, 285, 
0.044, 0.875, 286, 
0.037, 0.929, 287, 
0.023, 0.726, 288, 
0.029, 1.411, 289, 
0.015, 0.668, 290, 
0.028, 0.872, 291, 
0.019, 0.745, 292, 
0.022, 0.710, 293, 
0.016, 0.594, 294, 
0.037, 1.058, 295, 
0.017, 0.670, 296, 
0.016, 0.933, 297, 
0.015, 0.656, 298, 
0.022, 0.785, 299, 
0.018, 0.980, 300, 
0.027, 0.820, 301, 
0.055, 0.947, 302, 
0.067, 1.415, 303, 
0.019, 0.993, 304, 
0.019, 0.772, 305, 
0.031, 1.146, 306, 
0.024, 0.666, 307, 
0.016, 0.610, 308, 
0.015, 0.661, 309, 
0.011, 1.136, 310, 
0.035, 0.869, 311, 
0.021, 1.073, 312, 
0.022, 0.637, 313, 
0.028, 1.154, 314, 
0.014, 0.939, 315, 
0.020, 0.765, 316, 
0.022, 0.561, 317, 
0.011, 0.942, 318, 
0.013, 1.332, 319, 
0.030, 0.463, 320, 
0.026, 1.016, 321, 
0.017, 0.444, 322, 
0.035, 0.833, 323, 
0.019, 0.483, 324, 
0.024, 0.664, 325, 
0.021, 0.752, 326, 
0.019, 0.652, 327, 
0.032, 0.937, 328, 
0.022, 0.584, 329, 
0.019, 0.828, 330, 
0.028, 0.894, 331, 
0.048, 1.153, 332, 
0.028, 0.790, 333, 
0.024, 0.716, 334, 
0.031, 0.832, 335, 
0.031, 1.107, 336, 
0.035, 0.770, 337, 
0.022, 0.970, 338, 
0.023, 0.669, 339, 
0.032, 1.141, 340, 
0.016, 0.580, 341, 
0.017, 0.987, 342, 
0.070, 0.961, 343, 
0.024, 0.668, 344, 
0.016, 0.987, 345, 
0.027, 0.905, 346, 
0.029, 0.989, 347, 
0.019, 1.242, 348, 
0.016, 0.617, 349, 
0.027, 0.835, 350, 
0.050, 0.725, 351, 
0.028, 1.128, 352, 
0.020, 0.781, 353, 
0.023, 0.616, 354, 
0.026, 0.747, 355, 
0.009, 0.653, 356, 
0.039, 0.718, 357, 
0.039, 1.042, 358, 
0.044, 0.705, 359, 
0.028, 0.894, 360, 
0.022, 0.873, 361, 
0.024, 0.720, 362, 
0.013, 0.455, 363, 
0.018, 0.518, 364, 
0.027, 1.051, 365, 
0.009, 1.091, 366, 
0.030, 0.851, 367, 
0.015, 0.438, 368, 
0.050, 0.807, 369, 
0.033, 1.127, 370, 
0.030, 0.895, 371, 
0.011, 0.709, 372, 
0.025, 0.988, 373, 
0.005, 1.758, 374, 
0.038, 0.942, 375, 
0.025, 1.066, 376, 
0.031, 0.877, 377, 
0.012, 1.097, 378, 
0.028, 0.895, 379, 
0.038, 0.747, 380, 
0.014, 1.087, 381, 
0.036, 0.866, 382, 
