mean,std,episode,x
0.014, 0.389, 228, 
0.022, 0.477, 229, 
0.006, 0.314, 230, 
0.006, 0.335, 231, 
0.014, 0.380, 232, 
-0.001, 0.848, 233, 
0.010, 0.313, 234, 
0.012, 0.453, 235, 
0.007, 0.332, 236, 
0.013, 0.389, 237, 
0.004, 0.359, 238, 
0.015, 0.340, 239, 
0.007, 0.410, 240, 
0.006, 0.323, 241, 
0.010, 0.487, 242, 
0.013, 0.436, 243, 
0.012, 0.454, 244, 
0.015, 0.346, 245, 
0.014, 0.506, 246, 
0.010, 0.454, 247, 
0.013, 0.611, 248, 
0.008, 0.384, 249, 
0.015, 0.411, 250, 
0.012, 0.340, 251, 
0.009, 0.234, 252, 
0.011, 0.506, 253, 
0.017, 0.425, 254, 
0.013, 0.405, 255, 
0.016, 0.365, 256, 
-0.010, 0.845, 257, 
0.017, 0.424, 258, 
0.010, 0.552, 259, 
0.001, 0.512, 260, 
0.012, 0.468, 261, 
0.016, 0.411, 262, 
0.011, 0.477, 263, 
0.013, 0.410, 264, 
0.026, 0.767, 265, 
0.011, 0.282, 266, 
0.015, 0.500, 267, 
0.013, 0.266, 268, 
0.006, 0.494, 269, 
0.007, 0.304, 270, 
0.008, 0.235, 271, 
0.013, 0.324, 272, 
0.009, 0.496, 273, 
0.012, 0.466, 274, 
0.011, 0.338, 275, 
0.017, 0.544, 276, 
0.010, 0.389, 277, 
0.009, 0.367, 278, 
0.015, 0.396, 279, 
0.019, 0.365, 280, 
0.010, 0.499, 281, 
0.011, 0.414, 282, 
0.010, 0.406, 283, 
0.022, 0.341, 284, 
0.009, 0.266, 285, 
0.011, 0.290, 286, 
0.024, 0.484, 287, 
0.006, 0.335, 288, 
0.012, 0.351, 289, 
0.019, 0.413, 290, 
0.008, 0.328, 291, 
0.010, 0.406, 292, 
0.010, 0.380, 293, 
0.014, 0.454, 294, 
0.006, 0.266, 295, 
0.019, 0.527, 296, 
0.022, 0.603, 297, 
0.010, 0.501, 298, 
0.016, 0.359, 299, 
0.015, 0.506, 300, 
0.014, 0.436, 301, 
0.014, 0.450, 302, 
0.014, 0.341, 303, 
0.014, 0.524, 304, 
0.012, 0.341, 305, 
0.010, 0.243, 306, 
0.017, 0.358, 307, 
0.012, 0.340, 308, 
0.011, 0.429, 309, 
0.013, 0.367, 310, 
0.019, 0.516, 311, 
0.012, 0.426, 312, 
0.008, 0.353, 313, 
0.013, 0.500, 314, 
0.013, 0.486, 315, 
0.020, 0.496, 316, 
0.033, 0.481, 317, 
0.013, 0.500, 318, 
0.011, 0.452, 319, 
0.007, 0.328, 320, 
0.012, 0.537, 321, 
0.008, 0.487, 322, 
0.005, 0.531, 323, 
0.019, 0.462, 324, 
0.009, 0.313, 325, 
0.005, 0.359, 326, 
0.027, 0.457, 327, 
0.013, 0.625, 328, 
0.010, 0.274, 329, 
0.009, 0.316, 330, 
0.010, 0.513, 331, 
0.011, 0.525, 332, 
0.012, 0.391, 333, 
0.007, 0.332, 334, 
0.018, 0.394, 335, 
0.016, 0.438, 336, 
0.026, 0.519, 337, 
0.015, 0.496, 338, 
0.015, 0.523, 339, 
0.006, 0.314, 340, 
0.004, 0.332, 341, 
0.016, 0.384, 342, 
0.010, 0.368, 343, 
0.021, 0.360, 344, 
-0.000, 0.578, 345, 
-0.002, 0.897, 346, 
0.015, 0.418, 347, 
0.011, 0.458, 348, 
0.013, 0.305, 349, 
0.009, 0.328, 350, 
0.013, 0.372, 351, 
0.018, 0.717, 352, 
0.012, 0.698, 353, 
0.010, 0.406, 354, 
0.010, 0.384, 355, 
0.015, 0.477, 356, 
0.013, 0.291, 357, 
0.015, 0.531, 358, 
0.025, 0.547, 359, 
0.034, 0.717, 360, 
0.014, 0.506, 361, 
0.011, 0.392, 362, 
0.011, 0.410, 363, 
0.009, 0.500, 364, 
0.010, 0.287, 365, 
0.013, 0.287, 366, 
0.013, 0.453, 367, 
0.022, 0.503, 368, 
0.014, 0.334, 369, 
0.003, 0.352, 370, 
0.008, 0.470, 371, 
0.012, 0.507, 372, 
