mean,std,episode,x
0.038, 0.933, 228, 
0.048, 1.280, 229, 
0.026, 1.235, 230, 
0.080, 1.786, 231, 
0.101, 1.281, 232, 
0.053, 1.512, 233, 
0.006, 1.935, 234, 
0.032, 1.751, 235, 
0.031, 1.026, 236, 
0.023, 1.754, 237, 
0.016, 1.106, 238, 
0.065, 1.135, 239, 
0.043, 1.455, 240, 
0.066, 1.017, 241, 
0.046, 1.386, 242, 
0.037, 1.640, 243, 
0.026, 1.594, 244, 
0.057, 1.955, 245, 
0.059, 1.646, 246, 
0.039, 1.940, 247, 
0.015, 0.932, 248, 
0.083, 1.537, 249, 
0.082, 1.901, 250, 
0.052, 1.464, 251, 
0.055, 1.669, 252, 
0.060, 2.175, 253, 
0.008, 2.023, 254, 
0.041, 2.617, 255, 
0.052, 1.832, 256, 
0.026, 1.754, 257, 
0.048, 2.047, 258, 
0.057, 1.583, 259, 
0.011, 1.109, 260, 
0.040, 1.136, 261, 
0.048, 1.343, 262, 
0.032, 1.003, 263, 
0.053, 1.560, 264, 
0.069, 1.210, 265, 
0.056, 1.401, 266, 
0.053, 1.253, 267, 
0.019, 1.165, 268, 
0.077, 1.892, 269, 
0.026, 1.846, 270, 
0.042, 0.930, 271, 
0.041, 1.341, 272, 
0.055, 2.455, 273, 
0.044, 1.407, 274, 
0.023, 1.234, 275, 
0.037, 1.457, 276, 
0.045, 2.108, 277, 
0.037, 1.669, 278, 
0.086, 1.415, 279, 
0.048, 1.712, 280, 
0.052, 1.922, 281, 
0.048, 2.011, 282, 
0.037, 1.797, 283, 
0.052, 1.234, 284, 
0.067, 1.583, 285, 
0.088, 1.417, 286, 
0.049, 1.436, 287, 
0.086, 1.410, 288, 
0.031, 1.064, 289, 
0.051, 3.286, 290, 
0.071, 1.441, 291, 
0.051, 1.495, 292, 
0.081, 1.919, 293, 
0.028, 1.275, 294, 
0.042, 1.792, 295, 
0.043, 1.865, 296, 
0.053, 1.720, 297, 
0.062, 1.343, 298, 
0.032, 1.026, 299, 
0.029, 1.439, 300, 
0.038, 1.150, 301, 
0.051, 1.755, 302, 
0.055, 1.438, 303, 
0.058, 1.478, 304, 
0.034, 1.275, 305, 
0.049, 2.176, 306, 
0.081, 1.844, 307, 
0.094, 1.491, 308, 
0.050, 1.753, 309, 
0.013, 1.159, 310, 
0.062, 0.832, 311, 
0.088, 2.567, 312, 
0.047, 1.473, 313, 
0.100, 2.702, 314, 
0.058, 1.595, 315, 
0.044, 1.104, 316, 
0.038, 1.450, 317, 
0.072, 1.756, 318, 
0.021, 1.737, 319, 
0.028, 1.333, 320, 
0.038, 1.438, 321, 
0.031, 0.984, 322, 
0.029, 1.737, 323, 
0.059, 1.715, 324, 
0.042, 1.388, 325, 
0.033, 1.107, 326, 
0.032, 1.096, 327, 
0.043, 0.854, 328, 
0.078, 1.928, 329, 
0.116, 1.824, 330, 
0.049, 1.446, 331, 
-0.006, 2.639, 332, 
0.024, 2.409, 333, 
0.016, 1.440, 334, 
0.062, 1.211, 335, 
0.102, 1.601, 336, 
0.038, 1.141, 337, 
0.015, 1.204, 338, 
0.022, 1.934, 339, 
0.042, 0.930, 340, 
0.054, 2.444, 341, 
0.037, 1.750, 342, 
0.078, 1.408, 343, 
0.074, 2.524, 344, 
0.006, 1.453, 345, 
0.070, 1.845, 346, 
0.058, 1.751, 347, 
0.036, 1.447, 348, 
0.075, 1.234, 349, 
0.092, 2.210, 350, 
0.059, 1.439, 351, 
0.024, 1.150, 352, 
0.039, 1.102, 353, 
0.072, 1.901, 354, 
0.072, 1.846, 355, 
0.104, 1.608, 356, 
0.086, 2.010, 357, 
0.089, 1.621, 358, 
0.074, 1.464, 359, 
0.057, 1.346, 360, 
0.074, 1.957, 361, 
0.051, 0.896, 362, 
0.071, 1.253, 363, 
0.033, 1.461, 364, 
0.041, 0.897, 365, 
0.048, 1.173, 366, 
0.051, 1.390, 367, 
0.065, 2.449, 368, 
0.029, 0.972, 369, 
-0.026, 2.858, 370, 
0.046, 1.494, 371, 
0.046, 1.755, 372, 
0.071, 1.794, 373, 
0.061, 1.426, 374, 
0.098, 1.606, 375, 
0.058, 0.933, 376, 
0.080, 1.957, 377, 
0.017, 1.472, 378, 
0.051, 1.673, 379, 
0.052, 1.101, 380, 
0.081, 1.017, 381, 
0.037, 1.744, 382, 
0.038, 2.200, 383, 
0.020, 0.933, 384, 
0.043, 0.819, 385, 
0.048, 1.744, 386, 
0.045, 1.005, 387, 
0.100, 1.835, 388, 
0.057, 1.992, 389, 
0.068, 1.132, 390, 
0.053, 1.321, 391, 
0.042, 1.342, 392, 
0.047, 1.409, 393, 
0.030, 1.005, 394, 
0.029, 2.273, 395, 
0.059, 2.394, 396, 
0.043, 1.438, 397, 
0.053, 1.751, 398, 
0.074, 1.797, 399, 
0.027, 1.008, 400, 
0.039, 1.016, 401, 
