mean,std,episode,x
0.023, 0.516, 229, 
0.007, 0.277, 230, 
0.020, 0.411, 231, 
0.016, 0.602, 232, 
0.016, 0.438, 233, 
0.014, 0.320, 234, 
0.018, 0.359, 235, 
0.020, 0.610, 236, 
0.013, 0.506, 237, 
0.013, 0.341, 238, 
0.011, 0.494, 239, 
0.021, 0.410, 240, 
0.007, 0.554, 241, 
0.016, 0.527, 242, 
0.004, 0.505, 243, 
0.009, 0.554, 244, 
0.008, 0.335, 245, 
0.013, 0.233, 246, 
0.005, 0.368, 247, 
0.005, 0.374, 248, 
0.014, 0.500, 249, 
0.010, 0.496, 250, 
0.015, 0.526, 251, 
0.015, 0.365, 252, 
0.005, 0.450, 253, 
0.018, 0.359, 254, 
0.014, 0.315, 255, 
0.006, 0.552, 256, 
0.005, 0.554, 257, 
0.011, 0.410, 258, 
0.007, 0.364, 259, 
0.010, 0.498, 260, 
0.008, 0.498, 261, 
0.013, 0.351, 262, 
0.020, 0.365, 263, 
0.015, 0.346, 264, 
0.017, 0.450, 265, 
0.013, 0.341, 266, 
0.007, 0.313, 267, 
0.014, 0.568, 268, 
0.016, 0.717, 269, 
0.021, 0.509, 270, 
0.019, 0.441, 271, 
0.009, 0.367, 272, 
0.009, 0.500, 273, 
0.026, 0.457, 274, 
0.019, 0.516, 275, 
0.017, 0.554, 276, 
0.010, 0.621, 277, 
0.023, 0.520, 278, 
0.015, 0.568, 279, 
0.017, 0.450, 280, 
0.017, 0.931, 281, 
0.014, 0.396, 282, 
0.016, 0.404, 283, 
0.016, 0.375, 284, 
0.017, 0.488, 285, 
0.023, 0.610, 286, 
0.008, 0.261, 287, 
0.014, 0.393, 288, 
0.013, 0.728, 289, 
0.014, 0.453, 290, 
0.009, 0.293, 291, 
0.006, 0.505, 292, 
0.011, 0.507, 293, 
0.013, 0.510, 294, 
0.010, 0.396, 295, 
0.013, 0.335, 296, 
0.017, 0.357, 297, 
0.018, 0.931, 298, 
0.014, 0.574, 299, 
0.021, 0.610, 300, 
0.015, 0.447, 301, 
0.014, 0.418, 302, 
0.013, 0.396, 303, 
0.011, 0.305, 304, 
