mean,std,episode,x
0.020, 1.341, 227, 
0.034, 0.800, 228, 
0.019, 0.594, 229, 
0.019, 1.024, 230, 
0.050, 1.189, 231, 
0.024, 0.838, 232, 
0.019, 0.913, 233, 
0.042, 0.895, 234, 
0.031, 0.810, 235, 
0.016, 1.383, 236, 
0.027, 0.974, 237, 
0.046, 1.127, 238, 
0.025, 0.785, 239, 
0.027, 1.724, 240, 
0.017, 0.771, 241, 
0.037, 0.582, 242, 
0.042, 0.907, 243, 
0.071, 1.903, 244, 
0.026, 0.814, 245, 
0.044, 1.059, 246, 
0.013, 0.805, 247, 
0.034, 1.062, 248, 
0.031, 1.387, 249, 
0.030, 0.960, 250, 
0.031, 0.718, 251, 
0.034, 0.801, 252, 
0.042, 0.743, 253, 
0.022, 1.234, 254, 
0.021, 0.882, 255, 
0.037, 0.786, 256, 
0.038, 0.959, 257, 
0.035, 1.191, 258, 
0.027, 1.025, 259, 
0.006, 0.996, 260, 
0.028, 0.916, 261, 
0.041, 1.045, 262, 
0.024, 1.039, 263, 
0.022, 0.789, 264, 
0.010, 1.280, 265, 
0.050, 1.193, 266, 
0.029, 0.895, 267, 
0.036, 0.983, 268, 
0.015, 2.238, 269, 
0.031, 1.310, 270, 
0.023, 0.732, 271, 
0.041, 1.245, 272, 
0.029, 0.807, 273, 
0.016, 0.797, 274, 
0.012, 1.827, 275, 
0.012, 0.932, 276, 
0.025, 1.048, 277, 
0.042, 0.908, 278, 
0.047, 0.724, 279, 
0.076, 1.897, 280, 
0.029, 1.180, 281, 
0.046, 1.320, 282, 
0.074, 1.916, 283, 
0.033, 1.546, 284, 
0.013, 0.784, 285, 
0.008, 2.236, 286, 
0.032, 1.248, 287, 
0.051, 1.240, 288, 
0.035, 1.098, 289, 
0.050, 1.521, 290, 
0.029, 1.197, 291, 
0.022, 1.394, 292, 
0.022, 0.564, 293, 
0.053, 1.028, 294, 
0.047, 1.125, 295, 
0.017, 1.182, 296, 
0.034, 1.005, 297, 
0.041, 1.046, 298, 
0.040, 1.214, 299, 
0.018, 1.379, 300, 
0.047, 1.182, 301, 
0.025, 0.957, 302, 
0.020, 0.881, 303, 
0.020, 1.281, 304, 
0.030, 0.910, 305, 
0.024, 0.608, 306, 
0.015, 0.686, 307, 
0.042, 0.908, 308, 
0.024, 1.814, 309, 
0.045, 1.127, 310, 
0.028, 0.978, 311, 
0.036, 0.835, 312, 
0.027, 0.811, 313, 
0.043, 0.894, 314, 
0.022, 0.880, 315, 
0.050, 1.235, 316, 
0.026, 0.674, 317, 
0.034, 1.431, 318, 
0.022, 0.966, 319, 
0.044, 1.611, 320, 
0.039, 1.554, 321, 
0.024, 0.873, 322, 
0.023, 1.240, 323, 
0.017, 0.767, 324, 
0.020, 0.550, 325, 
0.027, 1.238, 326, 
0.027, 0.843, 327, 
0.021, 0.816, 328, 
0.077, 1.787, 329, 
0.012, 1.409, 330, 
-0.015, 2.079, 331, 
0.026, 1.241, 332, 
0.037, 1.039, 333, 
0.021, 1.174, 334, 
0.046, 1.059, 335, 
0.026, 0.811, 336, 
0.022, 0.940, 337, 
0.032, 1.163, 338, 
0.033, 0.849, 339, 
0.028, 0.704, 340, 
0.024, 1.274, 341, 
0.018, 0.937, 342, 
0.056, 1.289, 343, 
0.016, 1.380, 344, 
0.029, 1.239, 345, 
0.023, 1.109, 346, 
0.017, 0.794, 347, 
0.034, 1.247, 348, 
0.046, 0.959, 349, 
0.026, 0.816, 350, 
0.015, 0.731, 351, 
0.036, 0.863, 352, 
0.027, 0.730, 353, 
0.026, 1.552, 354, 
0.029, 0.829, 355, 
0.045, 1.352, 356, 
0.048, 0.906, 357, 
0.055, 0.997, 358, 
0.036, 0.892, 359, 
0.024, 0.809, 360, 
0.032, 1.766, 361, 
0.017, 0.679, 362, 
0.023, 0.605, 363, 
0.048, 1.305, 364, 
0.030, 0.971, 365, 
0.021, 0.785, 366, 
0.037, 1.023, 367, 
0.031, 1.125, 368, 
0.035, 1.263, 369, 
0.028, 0.841, 370, 
0.048, 0.877, 371, 
0.027, 1.050, 372, 
0.016, 1.030, 373, 
0.025, 0.785, 374, 
0.016, 0.764, 375, 
0.018, 1.382, 376, 
0.037, 1.063, 377, 
0.024, 0.943, 378, 
0.020, 0.953, 379, 
0.063, 0.899, 380, 
0.019, 2.227, 381, 
0.016, 1.110, 382, 
0.011, 1.321, 383, 
0.051, 1.970, 384, 
0.040, 0.737, 385, 
0.039, 1.042, 386, 
0.034, 1.300, 387, 
0.023, 1.269, 388, 
0.034, 0.726, 389, 
0.041, 1.342, 390, 
0.033, 1.128, 391, 
0.031, 1.248, 392, 
0.045, 0.896, 393, 
0.020, 1.244, 394, 
0.020, 0.818, 395, 
0.043, 0.925, 396, 
0.042, 1.123, 397, 
0.028, 0.847, 398, 
0.018, 0.853, 399, 
0.056, 1.436, 400, 
0.032, 0.974, 401, 
0.023, 1.394, 402, 
0.017, 0.780, 403, 
0.019, 0.778, 404, 
0.000, 2.236, 405, 
0.026, 0.948, 406, 
0.026, 0.581, 407, 
0.032, 0.849, 408, 
0.031, 0.760, 409, 
0.048, 0.723, 410, 
0.062, 0.907, 411, 
0.022, 0.555, 412, 
0.010, 2.238, 413, 
0.016, 1.182, 414, 
0.053, 0.846, 415, 
0.038, 1.268, 416, 
0.049, 1.574, 417, 
0.045, 0.974, 418, 
0.010, 0.796, 419, 
0.026, 1.014, 420, 
0.034, 0.913, 421, 
0.020, 1.394, 422, 
0.034, 1.446, 423, 
0.020, 0.610, 424, 
0.031, 1.743, 425, 
0.036, 1.026, 426, 
0.025, 1.393, 427, 
0.041, 1.382, 428, 
0.031, 0.989, 429, 
0.021, 1.127, 430, 
0.010, 2.235, 431, 
0.022, 1.396, 432, 
0.034, 1.130, 433, 
0.025, 0.723, 434, 
0.021, 1.187, 435, 
0.024, 1.279, 436, 
-0.007, 2.102, 437, 
0.026, 0.664, 438, 
0.048, 1.026, 439, 
0.024, 0.665, 440, 
0.051, 1.574, 441, 
0.019, 0.582, 442, 
0.022, 1.239, 443, 
0.033, 0.727, 444, 
0.050, 1.320, 445, 
0.013, 1.411, 446, 
0.040, 1.066, 447, 
0.020, 0.725, 448, 
0.042, 0.893, 449, 
0.035, 1.192, 450, 
0.052, 0.879, 451, 
0.031, 1.166, 452, 
0.035, 0.845, 453, 
0.025, 1.140, 454, 
0.044, 0.974, 455, 
0.027, 1.434, 456, 
0.020, 1.845, 457, 
0.023, 0.721, 458, 
0.039, 1.185, 459, 
0.031, 1.163, 460, 
0.018, 0.796, 461, 
0.048, 1.217, 462, 
0.068, 1.363, 463, 
0.037, 1.294, 464, 
0.025, 0.721, 465, 
0.023, 1.221, 466, 
0.029, 0.790, 467, 
0.009, 0.815, 468, 
0.011, 0.777, 469, 
0.028, 0.751, 470, 
0.028, 0.742, 471, 
0.041, 0.875, 472, 
0.040, 1.357, 473, 
0.042, 1.103, 474, 
0.036, 0.802, 475, 
0.035, 1.351, 476, 
0.050, 1.930, 477, 
0.056, 1.301, 478, 
0.002, 1.687, 479, 
0.046, 1.092, 480, 
0.042, 1.075, 481, 
0.022, 0.598, 482, 
0.037, 1.255, 483, 
0.031, 1.003, 484, 
0.056, 1.281, 485, 
0.045, 1.028, 486, 
0.031, 0.807, 487, 
0.026, 1.691, 488, 
0.034, 0.832, 489, 
0.028, 1.079, 490, 
0.037, 1.237, 491, 
0.044, 1.508, 492, 
0.028, 0.681, 493, 
0.007, 1.000, 494, 
0.014, 0.593, 495, 
0.026, 0.749, 496, 
0.048, 1.730, 497, 
0.024, 0.700, 498, 
0.042, 1.544, 499, 
0.039, 1.516, 500, 
0.035, 1.341, 501, 
0.029, 0.975, 502, 
0.032, 0.983, 503, 
0.042, 0.957, 504, 
0.040, 0.852, 505, 
0.033, 0.853, 506, 
0.031, 0.790, 507, 
0.018, 0.770, 508, 
0.035, 0.935, 509, 
0.009, 0.775, 510, 
0.019, 0.783, 511, 
0.010, 0.705, 512, 
0.047, 1.075, 513, 
0.051, 0.818, 514, 
0.039, 1.148, 515, 
0.033, 1.490, 516, 
0.050, 1.207, 517, 
0.047, 1.361, 518, 
0.037, 0.828, 519, 
0.046, 0.994, 520, 
0.010, 0.960, 521, 
0.010, 1.697, 522, 
0.042, 0.961, 523, 
0.022, 0.778, 524, 
0.004, 1.182, 525, 
0.027, 1.639, 526, 
0.047, 0.896, 527, 
0.017, 0.864, 528, 
0.019, 0.576, 529, 
0.018, 0.679, 530, 
0.025, 0.881, 531, 
0.019, 0.901, 532, 
0.039, 1.507, 533, 
0.016, 1.097, 534, 
0.029, 1.332, 535, 
0.051, 1.203, 536, 
0.021, 1.110, 537, 
0.029, 0.861, 538, 
0.023, 0.981, 539, 
0.032, 1.166, 540, 
0.034, 0.981, 541, 
0.024, 1.051, 542, 
0.018, 0.899, 543, 
0.029, 0.934, 544, 
0.029, 1.376, 545, 
0.032, 1.277, 546, 
0.053, 1.027, 547, 
0.042, 0.966, 548, 
0.038, 0.752, 549, 
0.034, 0.792, 550, 
0.020, 0.804, 551, 
0.055, 1.179, 552, 
0.035, 0.785, 553, 
0.033, 0.943, 554, 
0.021, 1.742, 555, 
0.055, 2.254, 556, 
0.028, 1.270, 557, 
0.051, 1.012, 558, 
0.022, 1.225, 559, 
0.030, 0.756, 560, 
0.017, 0.963, 561, 
0.042, 0.995, 562, 
0.026, 1.006, 563, 
0.018, 0.800, 564, 
0.023, 1.017, 565, 
0.024, 0.731, 566, 
0.021, 1.154, 567, 
0.042, 1.103, 568, 
0.028, 0.761, 569, 
0.040, 0.774, 570, 
0.020, 0.900, 571, 
0.025, 1.159, 572, 
0.046, 0.808, 573, 
0.051, 1.188, 574, 
0.063, 1.454, 575, 
0.057, 1.293, 576, 
0.027, 0.911, 577, 
0.026, 0.838, 578, 
0.033, 0.833, 579, 
0.015, 0.896, 580, 
0.074, 1.168, 581, 
0.033, 1.094, 582, 
0.044, 0.859, 583, 
0.031, 0.995, 584, 
0.033, 1.110, 585, 
0.039, 1.277, 586, 
0.035, 0.992, 587, 
0.030, 1.645, 588, 
0.011, 0.749, 589, 
0.006, 1.332, 590, 
0.025, 0.560, 591, 
0.044, 0.877, 592, 
0.030, 1.503, 593, 
0.048, 1.912, 594, 
0.047, 1.208, 595, 
0.044, 1.173, 596, 
0.035, 1.078, 597, 
0.032, 0.695, 598, 
0.029, 0.828, 599, 
0.029, 0.661, 600, 
0.026, 1.095, 601, 
0.040, 1.314, 602, 
0.043, 1.262, 603, 
0.022, 2.171, 604, 
0.037, 1.072, 605, 
0.040, 1.006, 606, 
0.027, 1.252, 607, 
0.041, 1.057, 608, 
0.049, 1.297, 609, 
0.026, 1.140, 610, 
0.032, 0.557, 611, 
0.051, 1.444, 612, 
0.043, 1.162, 613, 
0.053, 0.922, 614, 
0.018, 1.235, 615, 
0.033, 0.986, 616, 
0.015, 0.608, 617, 
0.043, 1.144, 618, 
-0.000, 2.055, 619, 
0.037, 1.246, 620, 
0.027, 0.614, 621, 
0.022, 0.541, 622, 
0.010, 1.350, 623, 
0.034, 1.069, 624, 
0.033, 0.964, 625, 
0.039, 0.990, 626, 
0.050, 1.324, 627, 
0.047, 1.264, 628, 
0.039, 0.898, 629, 
0.055, 0.837, 630, 
0.054, 1.548, 631, 
0.019, 0.568, 632, 
0.016, 0.772, 633, 
0.033, 1.171, 634, 
0.006, 1.343, 635, 
0.056, 1.533, 636, 
0.037, 0.743, 637, 
0.045, 1.155, 638, 
0.049, 1.032, 639, 
0.045, 1.236, 640, 
0.030, 1.212, 641, 
0.031, 0.785, 642, 
0.030, 0.803, 643, 
0.035, 0.771, 644, 
0.021, 1.237, 645, 
0.041, 1.182, 646, 
0.040, 1.267, 647, 
0.021, 0.802, 648, 
0.025, 0.657, 649, 
0.022, 0.998, 650, 
0.029, 0.644, 651, 
0.039, 1.310, 652, 
0.043, 0.976, 653, 
0.026, 0.664, 654, 
0.062, 1.168, 655, 
0.068, 0.919, 656, 
0.025, 0.978, 657, 
0.028, 1.072, 658, 
0.028, 1.217, 659, 
0.029, 1.026, 660, 
0.056, 0.894, 661, 
0.041, 1.024, 662, 
0.030, 0.733, 663, 
0.018, 0.540, 664, 
0.020, 0.746, 665, 
0.031, 1.079, 666, 
0.008, 1.258, 667, 
0.025, 1.207, 668, 
0.051, 0.774, 669, 
0.026, 0.644, 670, 
0.026, 0.884, 671, 
0.013, 0.530, 672, 
0.028, 0.900, 673, 
0.008, 0.753, 674, 
0.016, 1.686, 675, 
0.045, 1.006, 676, 
0.030, 0.512, 677, 
0.024, 0.507, 678, 
0.052, 1.393, 679, 
0.032, 1.076, 680, 
0.040, 1.322, 681, 
0.039, 1.031, 682, 
0.027, 0.786, 683, 
0.020, 0.867, 684, 
0.029, 0.845, 685, 
0.012, 0.733, 686, 
0.037, 0.702, 687, 
0.030, 0.727, 688, 
0.024, 1.647, 689, 
0.042, 1.373, 690, 
0.050, 0.842, 691, 
0.024, 1.066, 692, 
0.021, 0.760, 693, 
0.010, 1.719, 694, 
0.020, 0.577, 695, 
0.047, 1.481, 696, 
0.027, 0.526, 697, 
0.042, 1.324, 698, 
0.025, 1.169, 699, 
0.039, 1.519, 700, 
0.023, 0.893, 701, 
0.020, 1.122, 702, 
0.019, 0.825, 703, 
0.024, 0.764, 704, 
0.024, 1.084, 705, 
0.014, 1.319, 706, 
0.017, 0.886, 707, 
0.031, 0.908, 708, 
0.020, 1.119, 709, 
0.038, 1.051, 710, 
0.025, 0.543, 711, 
0.045, 1.208, 712, 
0.037, 0.825, 713, 
0.037, 1.082, 714, 
0.016, 0.881, 715, 
0.022, 0.512, 716, 
0.052, 0.987, 717, 
0.035, 0.776, 718, 
0.038, 0.759, 719, 
0.027, 0.716, 720, 
0.036, 1.384, 721, 
0.026, 0.621, 722, 
0.020, 1.040, 723, 
0.016, 1.095, 724, 
0.014, 0.765, 725, 
0.059, 0.896, 726, 
0.028, 0.636, 727, 
0.043, 1.099, 728, 
0.028, 0.959, 729, 
0.002, 2.094, 730, 
0.036, 0.949, 731, 
0.034, 1.213, 732, 
0.029, 1.068, 733, 
0.027, 0.750, 734, 
0.050, 1.239, 735, 
0.032, 0.927, 736, 
0.012, 1.004, 737, 
0.037, 1.294, 738, 
0.030, 0.886, 739, 
0.035, 0.995, 740, 
0.032, 1.723, 741, 
0.029, 1.232, 742, 
0.032, 0.898, 743, 
0.026, 0.710, 744, 
0.047, 1.579, 745, 
0.023, 0.945, 746, 
0.025, 0.594, 747, 
0.051, 0.866, 748, 
0.052, 1.192, 749, 
0.018, 1.147, 750, 
0.015, 0.904, 751, 
0.028, 0.647, 752, 
0.031, 0.966, 753, 
0.027, 1.801, 754, 
0.044, 1.035, 755, 
0.028, 0.805, 756, 
0.032, 1.446, 757, 
0.049, 0.962, 758, 
0.038, 1.000, 759, 
0.022, 0.805, 760, 
0.027, 0.868, 761, 
0.036, 1.040, 762, 
0.053, 1.481, 763, 
0.035, 1.125, 764, 
0.030, 1.376, 765, 
0.029, 1.187, 766, 
0.051, 1.476, 767, 
0.066, 1.325, 768, 
0.040, 1.291, 769, 
0.037, 1.259, 770, 
0.026, 0.865, 771, 
0.019, 0.938, 772, 
0.047, 1.288, 773, 
0.032, 1.123, 774, 
0.023, 0.777, 775, 
0.046, 1.203, 776, 
0.025, 0.636, 777, 
0.017, 0.682, 778, 
0.028, 0.798, 779, 
0.029, 0.708, 780, 
0.020, 0.820, 781, 
0.044, 1.169, 782, 
0.051, 1.295, 783, 
0.043, 1.578, 784, 
0.026, 1.121, 785, 
0.034, 0.786, 786, 
0.023, 0.659, 787, 
0.053, 1.288, 788, 
0.053, 1.043, 789, 
0.056, 1.096, 790, 
0.044, 0.865, 791, 
0.050, 1.225, 792, 
0.018, 0.914, 793, 
0.015, 0.911, 794, 
0.022, 0.805, 795, 
0.046, 1.133, 796, 
0.023, 0.914, 797, 
0.026, 0.566, 798, 
0.025, 0.958, 799, 
0.032, 0.552, 800, 
0.043, 1.084, 801, 
0.045, 1.315, 802, 
